timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2018-01-11,206.8800,208.0000,206.7300,207.6000,207.6000,151796,0.0000,1.0000
2018-01-10,207.0400,207.3500,205.7600,206.6100,206.6100,629553,0.0000,1.0000
2018-01-09,205.9600,207.9400,205.6000,207.3200,207.3200,726766,0.0000,1.0000
2018-01-08,203.8100,206.4100,203.6700,205.5500,205.5500,973595,0.0000,1.0000
2018-01-05,203.0100,204.8250,202.7100,203.8100,203.8100,717364,0.0000,1.0000
2018-01-04,201.4300,204.0500,201.0600,202.4300,202.4300,819509,0.0000,1.0000
2018-01-03,199.6800,201.6000,198.7000,201.5100,201.5100,646584,0.0000,1.0000
2018-01-02,200.1000,200.6100,198.3900,199.8800,199.8800,851295,0.0000,1.0000
2017-12-29,200.4300,200.8200,199.0700,199.5800,199.5800,637264,0.0000,1.0000
2017-12-28,199.6200,199.6200,197.9100,199.2100,199.2100,559001,0.0000,1.0000
2017-12-27,199.0800,199.2100,198.0800,198.9100,198.9100,351075,0.0000,1.0000
2017-12-26,199.1300,199.3800,198.4300,198.9400,198.9400,442695,0.0000,1.0000
2017-12-22,199.2800,200.2400,198.3800,199.2500,199.2500,578754,0.0000,1.0000
2017-12-21,199.2200,200.0400,197.3700,199.6900,199.6900,781552,0.0000,1.0000
2017-12-20,198.8600,199.6300,198.3500,199.0600,199.0600,744843,0.0000,1.0000
2017-12-19,199.5400,199.9900,197.0100,198.0700,198.0700,948718,0.0000,1.0000
2017-12-18,196.5950,198.5300,194.8700,198.1300,198.1300,1279810,0.0000,1.0000
2017-12-15,193.6100,195.3300,191.8200,194.2600,194.2600,1013181,0.0000,1.0000
2017-12-14,195.4300,195.8250,191.6200,191.7000,191.7000,753546,0.0000,1.0000
2017-12-13,191.5500,195.3000,191.5000,194.7100,194.7100,956310,0.0000,1.0000
2017-12-12,191.8500,192.8800,191.6500,191.8600,191.8600,703423,0.0000,1.0000
2017-12-11,193.1800,193.4890,191.2150,191.9400,191.9400,660037,0.0000,1.0000
2017-12-08,192.4100,193.0100,191.2500,192.9800,192.9800,1076379,0.0000,1.0000
2017-12-07,185.9400,191.3800,185.8800,191.3300,191.3300,1102732,0.0000,1.0000
2017-12-06,184.2400,187.0900,183.3600,186.3300,186.3300,960084,0.0000,1.0000
2017-12-05,185.4000,185.5300,183.4100,184.3100,184.3100,717185,0.0000,1.0000
2017-12-04,189.1100,190.0000,185.6300,185.8500,185.8500,743987,0.0000,1.0000
2017-12-01,187.4900,188.4300,183.6500,187.0500,187.0500,718918,0.0000,1.0000
2017-11-30,185.3400,188.1423,184.8400,187.4900,187.4900,778977,0.0000,1.0000
2017-11-29,185.7800,186.5400,183.8400,184.3200,184.3200,672748,0.0000,1.0000
2017-11-28,184.4200,185.8700,183.5800,185.7300,185.7300,535347,0.0000,1.0000
2017-11-27,183.2600,184.0300,182.8400,183.8100,183.8100,434125,0.0000,1.0000
2017-11-24,184.8800,185.1000,182.8600,183.2800,183.2800,211764,0.0000,1.0000
2017-11-22,184.6300,185.5500,184.2800,184.6100,184.6100,529500,0.0000,1.0000
2017-11-21,183.2300,184.7600,183.2100,184.2900,184.2900,518104,0.0000,1.0000
2017-11-20,183.0400,183.5600,182.3700,182.9000,182.9000,529593,0.0000,1.0000
2017-11-17,181.2700,182.5200,180.5600,182.3400,182.3400,640228,0.0000,1.0000
2017-11-16,180.1700,182.7100,179.7200,182.3000,182.3000,849288,0.0000,1.0000
2017-11-15,178.9100,180.0000,177.7400,179.7300,179.7300,977809,0.0000,1.0000
2017-11-14,180.9900,180.9900,179.3800,179.6700,179.6700,678860,0.0000,1.0000
2017-11-13,181.4100,181.7600,179.9500,181.3000,181.3000,545459,0.0000,1.0000
2017-11-10,182.0000,182.6900,181.4900,182.2300,182.2300,409518,0.0000,1.0000
2017-11-09,183.3100,183.5700,180.6400,182.3400,182.3400,649012,0.6600,1.0000
2017-11-08,184.6500,185.2400,183.5900,184.8700,184.2033,425284,0.0000,1.0000
2017-11-07,184.9600,186.1400,184.4900,185.4700,184.8011,525782,0.0000,1.0000
2017-11-06,185.5600,185.5800,184.0100,184.6200,183.9542,917678,0.0000,1.0000
2017-11-03,188.1700,188.1700,184.9500,185.3800,184.7114,825843,0.0000,1.0000
2017-11-02,184.1000,189.8300,184.1000,187.1200,186.4451,1696698,0.0000,1.0000
